Sample 1	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5
V	I1	I2	I3	I4	I5
1.50005	128.518911904762	171.527654822335	146.928007731959	107.671108137045	149.02147826087
1.448748	109.110247619048	142.732824873096	123.048157216495	86.5980594218416	134.705565217391
1.397484	89.7623361904762	114.508890862944	99.6757399484536	66.5443658993576	120.04852173913
1.346216	70.9806221428572	87.401014213198	77.1548556701031	47.7892074411135	105.385043478261
1.294966	53.0628907142857	61.9209058375635	55.8553265463918	30.7334405781585	90.8472173913044
1.243683	36.2364378571429	38.6715370558376	36.1435391752578	15.94651124197	76.4856434782609
1.192368	20.9630016666667	18.4437695431472	18.6262146907217	4.04133115631692	62.3816260869565
1.141076	7.65569030952381	2.40549639593909	4.0837443556701	-4.7543307012848	48.6243565217391
1.089768	-3.06967376190476	-8.83619659898477	-6.7559937628866	-10.547767130621	35.337547826087
1.038513	-10.7752061904762	-15.4782319796954	-13.6704203608247	-14.0597609743041	22.6000956521739
0.9872859	-15.5470697619048	-18.7075319796954	-17.4838554123711	-16.2001469486081	10.7328956521739
0.9359399	-18.0924547619048	-20.1886637055838	-19.3416216494845	-17.4259641327623	0.123460086956522
0.884631	-19.5090283333333	-20.8374289340102	-20.2852056701031	-18.249880888651	-8.65445652173913
0.8333576	-20.148335952381	-21.1374467005076	-20.7844600515464	-18.6700912740899	-14.7345391304348
0.7820692	-20.5405983333333	-21.3924563451777	-21.0487548969072	-18.9053335117773	-18.056052173913
0.7308221	-20.7648842857143	-21.4547081218274	-21.1317182989691	-19.1152821199144	-19.5244869565217
0.679545	-20.9172578571429	-21.4368751269036	-21.352725	-19.2326161670236	-20.2689652173913
0.628239	-21.0385895238095	-21.4869799492386	-21.4432798969072	-19.3467976445396	-20.529252173913
0.576895	-21.1206580952381	-21.500130964467	-21.3265925257732	-19.3272141327623	-20.7039043478261
0.5256498	-21.2207457142857	-21.4882241116751	-21.4170809278351	-19.3476745182013	-20.7603652173913
0.4743998	-21.2455526190476	-21.5206269035533	-21.4094783505155	-19.4512604389722	-20.8225565217391
0.4231761	-21.3171373809524	-21.4954271573604	-21.4766048969072	-19.4727020877944	-20.7356695652174
0.3718338	-21.2733490476191	-21.494597715736	-21.4055551546392	-19.4722740899358	-20.7105304347826
0.3205242	-21.2911019047619	-21.5487515228426	-21.4249051546392	-19.4211126873662	-20.6172086956522
0.2692482	-21.3528580952381	-21.5484241116751	-21.4914332474227	-19.4810532655246	-20.6160782608696
0.2179606	-21.3464695238095	-21.5034050761421	-21.5005430412371	-19.485051391863	-20.6643826086957
0.1667116	-21.3879030952381	-21.5311913705584	-21.4510487113402	-19.456125	-20.6168173913044
0.1154335	-21.3888040476191	-21.5470598984772	-21.4631507731959	-19.4878803533191	-20.6375739130435
0.06412005	-21.470719047619	-21.5752172588833	-21.4816585051546	-19.4665013383298	-20.5693652173913
0.01277947	-21.4264495238095	-21.5264439086294	-21.5093203608247	-19.504812366167	-20.6161913043478
-0.03852797	-21.5160021428571	-21.5800083756345	-21.4834095360825	-19.5049793897216	-20.608147826087
-0.08984351	-21.424064047619	-21.5065045685279	-21.4617654639175	-19.5064095289079	-20.5807130434783
-0.141192	-21.4966828571429	-21.5157812182741	-21.508012628866	-19.4435564775161	-20.5780695652174
-0.1924238	-21.5008088095238	-21.5328175126904	-21.5083229381443	-19.4761051927195	-20.5724695652174
-0.2436805	-21.511865952381	-21.6006352791878	-21.5467015463918	-19.5539590471092	-20.5475826086957
-0.294934	-21.4776707142857	-21.4844152284264	-21.510018556701	-19.4762722162741	-20.5615652173913
-0.3462539	-21.5153264285714	-21.5475510152284	-21.5035907216495	-19.4758024625268	-20.605652173913
-0.3976049	-21.4805373809524	-21.5267494923858	-21.4927298969072	-19.4782869379015	-20.5352869565217
-0.448858	-21.5284721428571	-21.6438098984772	-21.4969412371134	-19.5068688436831	-20.5842434782609
-0.5001178	-21.5385566666667	-21.5717030456853	-21.5442634020619	-19.4768985546039	-20.5656260869565
